x,y,lon,lat
448.698862005545,654.470228120816,113,36
560.041733946407,653.474071747838,114,36
671.875609238381,653.833252598597,115,36
784.466849672608,655.437577541312,116,36
897.036002925637,658.482408901255,117,36
900.705536343612,520.001045939451,117,35
786.694037027628,517.372981312903,116,35
672.840765926092,515.937574959247,115,35
559.239030626941,514.698726550163,114,35
446.768346227549,515.493346345085,113,35
333.486406999818,517.759988334687,112,35
219.067572497919,521.3162832128,111,35
105.327090232335,525.020545319916,110,35
99.2888647578038,385.165639962395,110,34
214.995435054268,380.957499047036,111,34
329.533408772964,378.799985340776,112,34
444.586471749422,376.551922154184,113,34
558.628179650004,375.908239954961,114,34
673.927262958627,376.647468949555,115,34
789.269382115148,378.593432766131,116,34
904.574385699143,381.422333412553,117,34
908.614568835976,242.145696801523,117,33
791.688143509156,239.698871247278,116,33
675.10208341563,238.332119595547,115,33
558.315973675213,237.371430148176,114,33
443.205984974014,238.123101056097,113,33
326.72848856265,238.707123720464,112,33
210.189132863732,241.330377847489,111,33
93.6865385328383,245.415631516793,110,33
87.1518701379355,106.030016074832,110,32
205.642209575435,102.02239359297,111,32
323.406961075245,99.6279697908067,112,32
439.823053604861,99.6279697908067,113,32
558.174215970452,98.5370325660697,114,32
676.035488199101,99.8810394287957,115,32
793.911510515536,101.355611655263,116,32
